id_producto,nombre,categoria,subcategoria,marca,precio_usd,stock,color,potencia_w,capacidad,voltaje,peso_kg,garantia_meses,descripcion
P0011,Profesional Procesadora 2024,Cocina,Preparación,HomeChef,356.86,111,Plateado,1550,2.0L,110-220V,38.5,18,"La Profesional Procesadora 2024 de HomeChef es tu aliada perfecta para cualquier preparación culinaria. Equipada con un motor profesional de 1550W, procesa desde vegetales delicados hasta masas pesadas. El bowl de 2.0L en policarbonato libre de BPA asegura preparaciones seguras para toda la familia. Incluye 15 accesorios intercambiables: disco rallador fino, disco rallador grueso, disco rebanador ajustable, cuchilla multipropósito en S, batidor de claras, gancho amasador, exprimidor de cítricos, y más. Sistema de seguridad con triple bloqueo evita el encendido accidental. Panel de control digital con display LED muestra tiempo, velocidad y programa seleccionado. 12 programas preestablecidos para pan, pizza, pasteles, merengues, mayonesas y más. La tecnología SilentTech reduce el ruido hasta en un 60% comparado con modelos tradicionales. Cable retráctil de 1.5m y almacenamiento interno para accesorios. Peso optimizado de 38.5kg para estabilidad sin ocupar demasiado espacio. Acabados premium en acero cepillado resistente a huellas dactilares. "
P0012,Advanced Procesadora II,Cocina,Preparación,TechHome,2528.96,129,Rosa,1700,1.2L,12V,45.7,18,"La Advanced Procesadora II de TechHome es tu aliada perfecta para cualquier preparación culinaria. Equipada con un motor profesional de 1700W, procesa desde vegetales delicados hasta masas pesadas. El bowl de 1.2L en policarbonato libre de BPA asegura preparaciones seguras para toda la familia. Incluye 15 accesorios intercambiables: disco rallador fino, disco rallador grueso, disco rebanador ajustable, cuchilla multipropósito en S, batidor de claras, gancho amasador, exprimidor de cítricos, y más. Sistema de seguridad con triple bloqueo evita el encendido accidental. Panel de control digital con display LED muestra tiempo, velocidad y programa seleccionado. 12 programas preestablecidos para pan, pizza, pasteles, merengues, mayonesas y más. La tecnología SilentTech reduce el ruido hasta en un 60% comparado con modelos tradicionales. Cable retráctil de 1.5m y almacenamiento interno para accesorios. Peso optimizado de 45.7kg para estabilidad sin ocupar demasiado espacio. Acabados premium en acero cepillado resistente a huellas dactilares. "
P0013,Procesadora,Cocina,Preparación,KitchenPro,82.93,92,Azul,1700,2.0L,220V,30.1,24,"La Procesadora de KitchenPro es tu aliada perfecta para cualquier preparación culinaria. Equipada con un motor profesional de 1700W, procesa desde vegetales delicados hasta masas pesadas. El bowl de 2.0L en policarbonato libre de BPA asegura preparaciones seguras para toda la familia. Incluye 15 accesorios intercambiables: disco rallador fino, disco rallador grueso, disco rebanador ajustable, cuchilla multipropósito en S, batidor de claras, gancho amasador, exprimidor de cítricos, y más. Sistema de seguridad con triple bloqueo evita el encendido accidental. Panel de control digital con display LED muestra tiempo, velocidad y programa seleccionado. 12 programas preestablecidos para pan, pizza, pasteles, merengues, mayonesas y más. La tecnología SilentTech reduce el ruido hasta en un 60% comparado con modelos tradicionales. Cable retráctil de 1.5m y almacenamiento interno para accesorios. Peso optimizado de 30.1kg para estabilidad sin ocupar demasiado espacio. Acabados premium en acero cepillado resistente a huellas dactilares. "
P0014,Premium Picadora,Cocina,Preparación,KitchenPro,2303.35,32,Gris,1750,,220V,48.9,36,"Presentamos la Premium Picadora de KitchenPro, un producto excepcional de la categoría Cocina. Con 1750W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 36 meses respaldada por KitchenPro. "
P0015,Picadora,Cocina,Preparación,HomeChef,2146.01,102,Verde,1550,,220V,46.5,12,"Presentamos la Picadora de HomeChef, un producto excepcional de la categoría Cocina. Con 1550W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 12 meses respaldada por HomeChef. "
P0016,Super Picadora,Cocina,Preparación,CookElite,1672.91,150,Rojo,900,,220V,17.2,36,"Presentamos la Super Picadora de CookElite, un producto excepcional de la categoría Cocina. Con 900W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 36 meses respaldada por CookElite. "
P0017,Profesional Batidora de Mano,Cocina,Preparación,TechHome,853.46,124,Rojo,300,,110-220V,4.0,12,"Presentamos la Profesional Batidora de Mano de TechHome, un producto excepcional de la categoría Cocina. Con 300W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 12 meses respaldada por TechHome. "
P0018,Batidora de Mano II,Cocina,Preparación,HomeChef,591.46,24,Amarillo,1700,,220V,39.3,24,"Presentamos la Batidora de Mano II de HomeChef, un producto excepcional de la categoría Cocina. Con 1700W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 24 meses respaldada por HomeChef. "
P0019,Batidora de Mano,Cocina,Preparación,ChefMaster,205.31,186,Verde,350,,12V,32.8,6,"Presentamos la Batidora de Mano de ChefMaster, un producto excepcional de la categoría Cocina. Con 350W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 6 meses respaldada por ChefMaster. "
P0020,Batidora de Pie,Cocina,Preparación,KitchenPro,768.16,19,Gris,600,,110-220V,9.6,24,"Presentamos la Batidora de Pie de KitchenPro, un producto excepcional de la categoría Cocina. Con 600W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 24 meses respaldada por KitchenPro. "
P0021,Batidora de Pie II,Cocina,Preparación,HomeChef,519.77,124,Gris,200,,220V,46.4,12,"Presentamos la Batidora de Pie II de HomeChef, un producto excepcional de la categoría Cocina. Con 200W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 12 meses respaldada por HomeChef. "
P0022,Advanced Batidora de Pie,Cocina,Preparación,KitchenPro,2781.38,200,Gris,1400,,220V,49.3,18,"Presentamos la Advanced Batidora de Pie de KitchenPro, un producto excepcional de la categoría Cocina. Con 1400W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 18 meses respaldada por KitchenPro. "
P0023,Eco Mixer II,Cocina,Preparación,CookElite,2906.9,148,Dorado,1750,,220V,9.9,12,"Presentamos la Eco Mixer II de CookElite, un producto excepcional de la categoría Cocina. Con 1750W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 12 meses respaldada por CookElite. "
P0024,Profesional Mixer,Cocina,Preparación,TechHome,493.35,130,Negro,1700,,12V,46.0,36,"Presentamos la Profesional Mixer de TechHome, un producto excepcional de la categoría Cocina. Con 1700W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 36 meses respaldada por TechHome. "
P0025,Mixer,Cocina,Preparación,KitchenPro,757.48,152,Blanco,950,,110-220V,6.4,36,"Presentamos la Mixer de KitchenPro, un producto excepcional de la categoría Cocina. Con 950W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 36 meses respaldada por KitchenPro. "
P0026,Mixer II,Cocina,Preparación,HomeChef,2017.42,80,Rojo,1850,,110-220V,46.8,12,"Presentamos la Mixer II de HomeChef, un producto excepcional de la categoría Cocina. Con 1850W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 12 meses respaldada por HomeChef. "
P0027,Mixer Pro,Cocina,Preparación,ChefMaster,52.7,159,Rosa,1650,,110-220V,46.5,6,"Presentamos la Mixer Pro de ChefMaster, un producto excepcional de la categoría Cocina. Con 1650W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 6 meses respaldada por ChefMaster. "
P0028,Digital Rallador Eléctrico,Cocina,Preparación,TechHome,872.83,112,Dorado,1300,,220V,44.0,18,"Presentamos la Digital Rallador Eléctrico de TechHome, un producto excepcional de la categoría Cocina. Con 1300W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 18 meses respaldada por TechHome. "
P0029,Compacto Rallador Eléctrico 2024,Cocina,Preparación,ChefMaster,2818.31,34,Azul,1950,,110-220V,46.6,6,"Presentamos la Compacto Rallador Eléctrico 2024 de ChefMaster, un producto excepcional de la categoría Cocina. Con 1950W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 6 meses respaldada por ChefMaster. "
P0030,Eco Rallador Eléctrico,Cocina,Preparación,TechHome,630.69,162,Azul,1050,,110-220V,30.4,18,"Presentamos la Eco Rallador Eléctrico de TechHome, un producto excepcional de la categoría Cocina. Con 1050W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 18 meses respaldada por TechHome. "
P0031,Abridor de Latas 2024,Cocina,Preparación,CookElite,156.15,85,Plateado,450,,12V,21.5,18,"Presentamos la Abridor de Latas 2024 de CookElite, un producto excepcional de la categoría Cocina. Con 450W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 18 meses respaldada por CookElite. "
P0032,Abridor de Latas,Cocina,Preparación,ChefMaster,2836.52,176,Plateado,1550,,12V,1.0,6,"Presentamos la Abridor de Latas de ChefMaster, un producto excepcional de la categoría Cocina. Con 1550W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 6 meses respaldada por ChefMaster. "
P0033,Abridor de Latas,Cocina,Preparación,HomeChef,942.06,10,Verde,1950,,220V,21.8,6,"Presentamos la Abridor de Latas de HomeChef, un producto excepcional de la categoría Cocina. Con 1950W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 6 meses respaldada por HomeChef. "
P0034,Turbo Abridor de Latas,Cocina,Preparación,KitchenPro,2779.14,60,Plateado,1950,,110-220V,48.7,12,"Presentamos la Turbo Abridor de Latas de KitchenPro, un producto excepcional de la categoría Cocina. Con 1950W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 12 meses respaldada por KitchenPro. "
P0035,Profesional Abridor de Latas,Cocina,Preparación,KitchenPro,818.74,179,Negro,1250,,110-220V,40.2,12,"Presentamos la Profesional Abridor de Latas de KitchenPro, un producto excepcional de la categoría Cocina. Con 1250W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 12 meses respaldada por KitchenPro. "
P0036,Deluxe Abridor de Latas,Cocina,Preparación,CookElite,688.19,168,Rojo,800,,110-220V,17.8,12,"Presentamos la Deluxe Abridor de Latas de CookElite, un producto excepcional de la categoría Cocina. Con 800W de potencia y tecnología de vanguardia, este electrodoméstico está diseñado para facilitar tu vida diaria. Construcción robusta y materiales de primera calidad garantizan años de uso confiable. Interfaz intuitiva y controles ergonómicos para una experiencia de usuario superior. Sistema de seguridad certificado y múltiples protecciones contra sobrecalentamiento. Eficiencia energética clase A+ para reducir el consumo eléctrico. Diseño moderno que se integra perfectamente en cualquier ambiente. Garantía de 12 meses respaldada por CookElite. "
