id_inventario,sucursal,id_producto,nombre_producto,categoria,marca,stock_sucursal,stock_minimo,stock_maximo,precio_sucursal,ultima_reposicion,proveedor,pasillo,estado
INV000016,Buenos Aires,P0208,Purificador de Aire 3000,Climatización,EcoClima,25,5,37,384.06,2025-11-02,EcoClima,C13,Disponible
INV000017,Buenos Aires,P0081,Olla Arrocera Plus,Cocina,ChefMaster,4,5,6,1366.12,2025-10-24,ChefMaster,D3,Disponible
INV000018,Buenos Aires,P0086,Digital Olla de Cocción Lenta,Cocina,ChefMaster,34,6,51,1709.53,2025-11-04,ChefMaster,D19,Disponible
INV000019,Buenos Aires,P0190,Ventilador de Techo,Climatización,ThermoControl,13,5,19,926.9,2025-11-02,ThermoControl,D19,Disponible
INV000020,Buenos Aires,P0077,Olla Arrocera,Cocina,TechHome,3,5,4,258.43,2025-10-27,TechHome,A9,Disponible
INV000021,Buenos Aires,P0300,Smart TV Plus,Audio y Video,ScreenPro,47,9,70,294.17,2025-10-27,ScreenPro,A19,Disponible
INV000022,Buenos Aires,P0253,Elite Lavaseca 3000,Lavado,SparkleHome,56,11,84,1179.62,2025-10-21,SparkleHome,C1,Disponible
INV000023,Buenos Aires,P0254,Lavaseca,Lavado,CleanMaster,5,5,7,2308.92,2025-10-30,CleanMaster,B5,Disponible
INV000024,Buenos Aires,P0027,Mixer Pro,Cocina,ChefMaster,50,10,75,54.66,2025-10-25,ChefMaster,C7,Disponible
INV000025,Buenos Aires,P0162,Aire Central II,Climatización,ThermoControl,11,5,16,1903.1,2025-10-26,ThermoControl,C13,Disponible
INV000026,Buenos Aires,P0209,Purificador de Aire,Climatización,PureAir,23,5,34,1959.06,2025-11-15,PureAir,A4,Disponible
INV000027,Buenos Aires,P0195,Ventilador de Torre 2024,Climatización,AirFlow,0,5,0,2649.73,2025-11-09,AirFlow,C8,Agotado
INV000028,Buenos Aires,P0007,Licuadora,Cocina,KitchenPro,39,7,58,2583.07,2025-11-18,KitchenPro,B15,Disponible
INV000029,Buenos Aires,P0121,Premium Cafetera,Cocina,HomeChef,20,5,30,1336.12,2025-10-27,HomeChef,B5,Disponible
INV000030,Buenos Aires,P0210,Elite Humidificador,Climatización,EcoClima,56,11,84,121.95,2025-10-23,EcoClima,C16,Disponible
INV000031,Buenos Aires,P0053,Freidora de Aire,Cocina,KitchenPro,24,5,36,2264.32,2025-10-23,KitchenPro,B11,Disponible
INV000032,Buenos Aires,P0216,Advanced Humidificador,Climatización,AirFlow,14,5,21,1209.64,2025-11-04,AirFlow,D3,Disponible
INV000033,Buenos Aires,P0072,Ultra Parrilla Eléctrica,Cocina,TechHome,47,9,70,909.73,2025-10-25,TechHome,B5,Disponible
INV000034,Buenos Aires,P0159,Aire de Ventana X,Climatización,ThermoControl,21,5,31,1880.68,2025-11-02,ThermoControl,D2,Disponible
INV000035,Buenos Aires,P0217,Deluxe Deshumidificador,Climatización,ClimaTech,37,7,55,862.58,2025-11-01,ClimaTech,C3,Disponible
INV000036,Buenos Aires,P0016,Super Picadora,Cocina,CookElite,34,6,51,1653.57,2025-11-17,CookElite,A7,Disponible
INV000037,Buenos Aires,P0230,Lavarropas Automático,Lavado,WashPro,51,10,76,713.9,2025-11-10,WashPro,C13,Disponible
INV000038,Buenos Aires,P0006,Licuadora,Cocina,ChefMaster,9,5,13,1925.25,2025-10-26,ChefMaster,C13,Disponible
INV000039,Buenos Aires,P0152,Compacto Aire Split II,Climatización,PureAir,14,5,21,1882.5,2025-10-28,PureAir,D15,Disponible
INV000040,Buenos Aires,P0264,Premium Centrifuga,Lavado,LaundryTech,49,9,73,2132.24,2025-10-31,LaundryTech,D7,Disponible
INV000041,Buenos Aires,P0079,Super Olla Arrocera X,Cocina,CookElite,27,5,40,1032.76,2025-11-01,CookElite,A20,Disponible
INV000042,Buenos Aires,P0269,Tender Eléctrico 3000,Lavado,WashPro,63,12,94,1695.57,2025-11-04,WashPro,D4,Disponible
INV000043,Buenos Aires,P0285,Plancha Seca 2024,Lavado,WashPro,26,5,39,1918.16,2025-11-01,WashPro,B14,Disponible
INV000044,Buenos Aires,P0298,Planchita de Pelo,Lavado,LaundryTech,11,5,16,935.51,2025-11-06,LaundryTech,A14,Disponible
INV000045,Buenos Aires,P0068,Waflera,Cocina,KitchenPro,16,5,24,2456.69,2025-10-21,KitchenPro,D17,Disponible
INV000046,Buenos Aires,P0051,Freidora de Aire Plus,Cocina,CookElite,0,5,0,1137.02,2025-11-10,CookElite,D11,Agotado
INV000047,Buenos Aires,P0091,Advanced Heladera,Cocina,ChefMaster,41,8,61,2949.98,2025-10-25,ChefMaster,D12,Disponible
INV000048,Buenos Aires,P0205,Neblinizador,Climatización,ClimaTech,13,5,19,1960.03,2025-10-19,ClimaTech,D14,Disponible
INV000049,Buenos Aires,P0017,Profesional Batidora de Mano,Cocina,TechHome,25,5,37,815.25,2025-11-18,TechHome,D11,Disponible
INV000050,Buenos Aires,P0094,Elite Heladera,Cocina,CookElite,0,5,0,777.92,2025-10-24,CookElite,B10,Agotado
INV000051,Buenos Aires,P0130,Deluxe Exprimidor X,Cocina,ChefMaster,11,5,16,517.95,2025-11-07,ChefMaster,D12,Disponible
INV000052,Buenos Aires,P0251,Pro Lavaseca,Lavado,CleanMaster,2,5,3,217.05,2025-11-15,CleanMaster,C10,Disponible
INV000053,Buenos Aires,P0273,Max Lavavajillas,Lavado,CleanMaster,33,6,49,1132.62,2025-10-25,CleanMaster,D10,Disponible
INV000054,Buenos Aires,P0019,Batidora de Mano,Cocina,ChefMaster,28,5,42,212.46,2025-10-24,ChefMaster,B7,Disponible
INV000055,Buenos Aires,P0096,Premium Heladera,Cocina,CookElite,36,7,54,844.47,2025-10-20,CookElite,D1,Disponible
INV000056,Buenos Aires,P0245,Plus Lavarropa Carga Frontal X,Lavado,SparkleHome,4,5,6,2452.32,2025-11-11,SparkleHome,D2,Disponible
INV000057,Buenos Aires,P0255,Digital Lavaseca,Lavado,WashPro,37,7,55,1923.33,2025-11-04,WashPro,B14,Disponible
INV000058,Buenos Aires,P0175,Digital Panel Calefactor,Climatización,AirFlow,6,5,9,1379.19,2025-10-21,AirFlow,C5,Disponible
INV000059,Buenos Aires,P0002,Licuadora,Cocina,TechHome,37,7,55,1291.26,2025-11-02,TechHome,A6,Disponible
INV000060,Buenos Aires,P0018,Batidora de Mano II,Cocina,HomeChef,3,5,4,581.57,2025-10-27,HomeChef,A18,Disponible
INV000061,Buenos Aires,P0113,Frigobar,Cocina,HomeChef,31,6,46,1559.04,2025-11-01,HomeChef,C3,Disponible
INV000062,Buenos Aires,P0059,Sandwichera 3000,Cocina,KitchenPro,29,5,43,2574.63,2025-10-28,KitchenPro,D3,Disponible
INV000063,Buenos Aires,P0174,Caloventor,Climatización,AirFlow,25,5,37,2612.85,2025-11-03,AirFlow,D5,Disponible
INV000064,Buenos Aires,P0186,Ventilador de Pie 2024,Climatización,AirFlow,55,11,82,498.8,2025-11-08,AirFlow,C4,Disponible
INV000065,Buenos Aires,P0163,Super Aire Central,Climatización,ClimaTech,10,5,15,2142.69,2025-11-06,ClimaTech,A10,Disponible
INV000066,Buenos Aires,P0024,Profesional Mixer,Cocina,TechHome,27,5,40,491.58,2025-11-17,TechHome,C13,Disponible
INV000067,Buenos Aires,P0290,Centro de Planchado,Lavado,WashPro,54,10,81,1636.22,2025-11-03,WashPro,A19,Disponible
INV000068,Buenos Aires,P0128,Advanced Pava Eléctrica,Cocina,CookElite,4,5,6,1233.26,2025-10-29,CookElite,B19,Disponible
INV000069,Buenos Aires,P0258,Secarropa,Lavado,SparkleHome,33,6,49,2169.02,2025-11-18,SparkleHome,A5,Disponible
INV000070,Buenos Aires,P0025,Mixer,Cocina,KitchenPro,42,8,63,719.69,2025-11-05,KitchenPro,C9,Disponible
INV000071,Buenos Aires,P0284,Elite Plancha Seca X,Lavado,WashPro,19,5,28,977.0,2025-10-22,WashPro,A8,Disponible
INV000072,Buenos Aires,P0234,Smart Lavarropas Semiautomático Plus,Lavado,LaundryTech,31,6,46,1545.61,2025-11-07,LaundryTech,B11,Disponible
INV000073,Buenos Aires,P0014,Premium Picadora,Cocina,KitchenPro,8,5,12,2382.02,2025-10-30,KitchenPro,A15,Disponible
INV000074,Buenos Aires,P0089,Plus Olla de Cocción Lenta,Cocina,CookElite,21,5,31,310.49,2025-11-09,CookElite,B4,Disponible
INV000075,Buenos Aires,P0135,Profesional Yogurtera,Cocina,CookElite,47,9,70,143.77,2025-11-04,CookElite,D10,Disponible
INV000076,Buenos Aires,P0240,Lavarropa Carga Superior,Lavado,LaundryTech,32,6,48,2139.85,2025-11-04,LaundryTech,C4,Disponible
INV000077,Buenos Aires,P0147,Turbo Deshidratador,Cocina,TechHome,9,5,13,2098.63,2025-11-16,TechHome,D9,Disponible
INV000078,Buenos Aires,P0265,Centrifuga,Lavado,SparkleHome,24,5,36,1071.09,2025-10-28,SparkleHome,B7,Disponible
INV000079,Buenos Aires,P0246,Lavarropa Carga Frontal,Lavado,FreshWash,13,5,19,2437.91,2025-11-02,FreshWash,B20,Disponible
INV000080,Buenos Aires,P0034,Turbo Abridor de Latas,Cocina,KitchenPro,12,5,18,2784.7,2025-10-29,KitchenPro,D17,Disponible
INV000081,Buenos Aires,P0046,Microondas 3000,Cocina,CookElite,9,5,13,2645.94,2025-11-10,CookElite,D6,Disponible
INV000082,Buenos Aires,P0066,Pro Waflera,Cocina,ChefMaster,35,7,52,980.81,2025-10-25,ChefMaster,D1,Disponible
INV000083,Buenos Aires,P0078,Profesional Olla Arrocera,Cocina,ChefMaster,57,11,85,147.9,2025-11-07,ChefMaster,D20,Disponible
INV000084,Buenos Aires,P0020,Batidora de Pie,Cocina,KitchenPro,5,5,7,765.03,2025-11-13,KitchenPro,D10,Disponible
INV000085,Buenos Aires,P0054,Advanced Freidora de Aire,Cocina,HomeChef,39,7,58,411.49,2025-11-12,HomeChef,D7,Disponible
INV000086,Buenos Aires,P0063,Sandwichera,Cocina,CookElite,15,5,22,560.46,2025-11-06,CookElite,B3,Disponible
INV000087,Buenos Aires,P0262,Compacto Secarropa,Lavado,FreshWash,20,5,30,2337.86,2025-10-24,FreshWash,A15,Disponible
INV000088,Buenos Aires,P0084,Olla de Cocción Lenta,Cocina,TechHome,31,6,46,1235.21,2025-11-14,TechHome,B13,Disponible
INV000089,Buenos Aires,P0260,Secarropa II,Lavado,SparkleHome,35,7,52,1241.29,2025-10-23,SparkleHome,C14,Disponible
INV000090,Buenos Aires,P0114,Frigobar 2024,Cocina,HomeChef,15,5,22,1414.34,2025-10-31,HomeChef,D5,Disponible
INV000091,Buenos Aires,P0289,Centro de Planchado,Lavado,CleanMaster,0,5,0,159.51,2025-11-04,CleanMaster,B16,Agotado
INV000092,Buenos Aires,P0256,Smart Secarropa,Lavado,LaundryTech,29,5,43,1862.12,2025-10-30,LaundryTech,A5,Disponible
INV000093,Buenos Aires,P0015,Picadora,Cocina,HomeChef,33,6,49,2139.9,2025-11-11,HomeChef,A2,Disponible
INV000094,Buenos Aires,P0182,Radiador de Aceite,Climatización,ClimaTech,10,5,15,2752.57,2025-10-24,ClimaTech,D11,Disponible
INV000095,Buenos Aires,P0097,Advanced Freezer,Cocina,CookElite,60,12,90,793.68,2025-10-22,CookElite,D2,Disponible
INV000096,Buenos Aires,P0275,Lavavajillas Compacto 2024,Lavado,FreshWash,34,6,51,2043.87,2025-11-01,FreshWash,D15,Disponible
INV000097,Buenos Aires,P0188,Ventilador de Pie Plus,Climatización,PureAir,13,5,19,1795.72,2025-10-27,PureAir,D14,Disponible
INV000098,Buenos Aires,P0191,Turbo Ventilador de Techo,Climatización,ThermoControl,35,7,52,806.87,2025-11-08,ThermoControl,A18,Disponible
INV000099,Buenos Aires,P0249,Elite Lavaseca,Lavado,FreshWash,9,5,13,1983.36,2025-10-28,FreshWash,D7,Disponible
INV000100,Buenos Aires,P0055,Freidora de Aire,Cocina,TechHome,25,5,37,840.24,2025-11-16,TechHome,A11,Disponible
INV000101,Buenos Aires,P0231,Lavarropas Automático 3000,Lavado,SparkleHome,19,5,28,2804.19,2025-11-17,SparkleHome,C12,Disponible
INV000102,Buenos Aires,P0243,Lavarropa Carga Frontal Plus,Lavado,LaundryTech,36,7,54,1140.03,2025-10-30,LaundryTech,D6,Disponible
INV000103,Buenos Aires,P0082,Olla Arrocera 3000,Cocina,HomeChef,16,5,24,402.73,2025-11-01,HomeChef,C18,Disponible
INV000104,Buenos Aires,P0178,Panel Calefactor,Climatización,AirFlow,0,5,0,849.31,2025-11-05,AirFlow,A5,Agotado
INV000105,Buenos Aires,P0120,Deluxe Cafetera 2024,Cocina,HomeChef,15,5,22,1067.03,2025-10-28,HomeChef,A5,Disponible
INV000106,Buenos Aires,P0150,Aire Split II,Climatización,ClimaTech,7,5,10,758.26,2025-11-06,ClimaTech,B4,Disponible
INV000107,Buenos Aires,P0228,Deluxe Ionizador,Climatización,PureAir,20,5,30,1413.86,2025-10-24,PureAir,A11,Disponible
INV000108,Buenos Aires,P0198,Compacto Ventilador de Torre,Climatización,ThermoControl,7,5,10,1263.55,2025-11-01,ThermoControl,A5,Disponible
INV000109,Buenos Aires,P0237,Lavarropa Carga Superior,Lavado,LaundryTech,2,5,3,1274.74,2025-10-29,LaundryTech,D4,Disponible
INV000110,Buenos Aires,P0118,Pro Vinoteca,Cocina,ChefMaster,6,5,9,713.95,2025-11-14,ChefMaster,A16,Disponible
INV000111,Buenos Aires,P0032,Abridor de Latas,Cocina,ChefMaster,26,5,39,2804.76,2025-11-06,ChefMaster,A4,Disponible
INV000112,Buenos Aires,P0224,Ionizador 3000,Climatización,EcoClima,27,5,40,2732.51,2025-10-31,EcoClima,D5,Disponible
INV000113,Buenos Aires,P0021,Batidora de Pie II,Cocina,HomeChef,33,6,49,513.93,2025-11-14,HomeChef,B8,Disponible
INV000114,Buenos Aires,P0165,Digital Estufa Eléctrica,Climatización,ThermoControl,26,5,39,2388.96,2025-10-27,ThermoControl,D10,Disponible
INV000115,Buenos Aires,P0226,Advanced Ionizador Plus,Climatización,PureAir,1,5,1,1301.33,2025-11-04,PureAir,B11,Disponible
INV000116,Buenos Aires,P0164,Estufa Eléctrica,Climatización,EcoClima,27,5,40,2940.36,2025-11-03,EcoClima,D17,Disponible
INV000117,Buenos Aires,P0148,Aire Split,Climatización,PureAir,47,9,70,2744.63,2025-10-22,PureAir,B11,Disponible
INV000118,Buenos Aires,P0137,Yogurtera,Cocina,TechHome,18,5,27,2495.33,2025-11-04,TechHome,D15,Disponible
INV000119,Buenos Aires,P0102,Super Freezer,Cocina,TechHome,23,5,34,1966.26,2025-11-15,TechHome,B4,Disponible
INV000120,Buenos Aires,P0112,Deluxe Frigobar,Cocina,TechHome,4,5,6,246.84,2025-11-08,TechHome,C15,Disponible
INV000121,Buenos Aires,P0295,Profesional Planchita de Pelo Plus,Lavado,WashPro,4,5,6,1255.78,2025-11-17,WashPro,A17,Disponible
INV000122,Buenos Aires,P0104,Eco Conservadora II,Cocina,ChefMaster,41,8,61,2705.77,2025-10-30,ChefMaster,B17,Disponible
INV000123,Buenos Aires,P0149,Aire Split,Climatización,EcoClima,32,6,48,1883.53,2025-10-23,EcoClima,A10,Disponible
INV000124,Buenos Aires,P0201,Turbo Ventilador de Torre Pro,Climatización,ThermoControl,25,5,37,1452.99,2025-11-02,ThermoControl,A3,Disponible
INV000125,Buenos Aires,P0110,Frigobar,Cocina,TechHome,27,5,40,2430.31,2025-11-09,TechHome,A4,Disponible
INV000126,Buenos Aires,P0085,Olla de Cocción Lenta,Cocina,KitchenPro,21,5,31,2524.57,2025-10-20,KitchenPro,C2,Disponible
INV000127,Buenos Aires,P0100,Pro Freezer Plus,Cocina,ChefMaster,26,5,39,3044.99,2025-11-01,ChefMaster,A11,Disponible
INV000128,Buenos Aires,P0282,Compacto Plancha a Vapor,Lavado,SparkleHome,27,5,40,2858.05,2025-11-06,SparkleHome,A2,Disponible
INV000129,Buenos Aires,P0142,Profesional Deshidratador,Cocina,KitchenPro,16,5,24,748.43,2025-11-04,KitchenPro,D20,Disponible
INV000130,Buenos Aires,P0061,Sandwichera,Cocina,TechHome,39,7,58,2290.55,2025-11-17,TechHome,B8,Disponible
INV000131,Buenos Aires,P0050,Freidora de Aire,Cocina,KitchenPro,38,7,57,1275.26,2025-11-09,KitchenPro,C12,Disponible
INV000132,Buenos Aires,P0083,Olla de Cocción Lenta II,Cocina,CookElite,5,5,7,1628.48,2025-11-09,CookElite,D19,Disponible
INV000133,Buenos Aires,P0156,Aire Portátil Pro,Climatización,ThermoControl,29,5,43,872.58,2025-11-18,ThermoControl,B14,Disponible
INV000134,Buenos Aires,P0127,Pava Eléctrica,Cocina,HomeChef,12,5,18,3031.0,2025-11-05,HomeChef,A3,Disponible
INV000135,Buenos Aires,P0279,Plancha a Vapor 3000,Lavado,WashPro,36,7,54,612.95,2025-10-19,WashPro,C16,Disponible
INV000136,Buenos Aires,P0161,Aire Central Pro,Climatización,AirFlow,33,6,49,1826.25,2025-11-03,AirFlow,B4,Disponible
INV000137,Buenos Aires,P0144,Plus Deshidratador 2024,Cocina,KitchenPro,29,5,43,2141.03,2025-10-19,KitchenPro,D6,Disponible
INV000138,Buenos Aires,P0203,Neblinizador 2024,Climatización,PureAir,37,7,55,637.02,2025-10-27,PureAir,D8,Disponible
INV000139,Buenos Aires,P0207,Super Purificador de Aire,Climatización,ClimaTech,16,5,24,1191.6,2025-11-06,ClimaTech,B2,Disponible
INV000140,Buenos Aires,P0141,Advanced Deshidratador,Cocina,HomeChef,8,5,12,463.99,2025-10-23,HomeChef,C10,Disponible
INV000141,Buenos Aires,P0242,Lavarropa Carga Frontal 3000,Lavado,LaundryTech,12,5,18,1410.42,2025-10-23,LaundryTech,B10,Disponible
INV000142,Buenos Aires,P0222,Ultra Ionizador,Climatización,PureAir,21,5,31,2627.62,2025-10-22,PureAir,C3,Disponible
INV000143,Buenos Aires,P0196,Advanced Ventilador de Torre Pro,Climatización,PureAir,8,5,12,2734.33,2025-10-29,PureAir,B19,Disponible
INV000144,Buenos Aires,P0013,Procesadora,Cocina,KitchenPro,21,5,31,78.98,2025-11-06,KitchenPro,D7,Disponible
INV000145,Buenos Aires,P0048,Digital Microondas,Cocina,CookElite,13,5,19,786.87,2025-10-24,CookElite,D9,Disponible
INV000146,Buenos Aires,P0215,Humidificador,Climatización,PureAir,12,5,18,1379.56,2025-10-26,PureAir,C18,Disponible
INV000147,Buenos Aires,P0123,Pava Eléctrica,Cocina,CookElite,5,5,7,1096.22,2025-11-16,CookElite,D9,Disponible
INV000148,Buenos Aires,P0122,Cafetera,Cocina,ChefMaster,5,5,7,180.45,2025-10-20,ChefMaster,A14,Disponible
INV000149,Buenos Aires,P0023,Eco Mixer II,Cocina,CookElite,24,5,36,2859.42,2025-11-18,CookElite,B6,Disponible
INV000150,Buenos Aires,P0139,Deluxe Yogurtera 3000,Cocina,KitchenPro,0,5,0,1475.31,2025-10-28,KitchenPro,A10,Agotado
INV000151,Buenos Aires,P0166,Compacto Estufa Eléctrica,Climatización,ClimaTech,46,9,69,1091.96,2025-11-15,ClimaTech,C9,Disponible
INV000152,Buenos Aires,P0155,Aire Portátil,Climatización,EcoClima,39,7,58,1589.28,2025-11-06,EcoClima,A19,Disponible
INV000153,Buenos Aires,P0160,Aire de Ventana Pro,Climatización,ClimaTech,31,6,46,436.42,2025-11-01,ClimaTech,D15,Disponible
INV000154,Buenos Aires,P0026,Mixer II,Cocina,HomeChef,16,5,24,2117.53,2025-10-26,HomeChef,B18,Disponible
INV000155,Buenos Aires,P0297,Planchita de Pelo,Lavado,FreshWash,7,5,10,1337.12,2025-10-28,FreshWash,B7,Disponible
INV000156,Buenos Aires,P0168,Super Estufa Eléctrica,Climatización,ThermoControl,13,5,19,1988.53,2025-11-18,ThermoControl,D12,Disponible
INV000157,Buenos Aires,P0042,Max Horno Eléctrico,Cocina,HomeChef,38,7,57,1342.08,2025-10-26,HomeChef,D6,Disponible
INV000158,Buenos Aires,P0248,Pro Lavaseca Plus,Lavado,SparkleHome,22,5,33,1496.16,2025-10-21,SparkleHome,D15,Disponible
INV000159,Buenos Aires,P0093,Heladera,Cocina,ChefMaster,4,5,6,543.76,2025-10-30,ChefMaster,D14,Disponible
INV000160,Buenos Aires,P0111,Frigobar,Cocina,TechHome,38,7,57,876.36,2025-11-16,TechHome,C13,Disponible
INV000161,Buenos Aires,P0126,Turbo Pava Eléctrica 2024,Cocina,HomeChef,6,5,9,1347.34,2025-11-10,HomeChef,A5,Disponible
INV000162,Buenos Aires,P0296,Planchita de Pelo,Lavado,LaundryTech,58,11,87,1337.23,2025-10-23,LaundryTech,B9,Disponible
INV000163,Buenos Aires,P0056,Tostadora,Cocina,CookElite,17,5,25,2164.38,2025-11-01,CookElite,B15,Disponible
INV000164,Buenos Aires,P0049,Max Freidora de Aire,Cocina,CookElite,47,9,70,948.87,2025-11-01,CookElite,D16,Disponible
INV000165,Buenos Aires,P0037,Abridor de Latas,Cocina,CookElite,30,6,45,1947.54,2025-10-26,CookElite,D15,Disponible
INV000166,Buenos Aires,P0154,Aire Portátil,Climatización,ClimaTech,9,5,13,1837.69,2025-11-08,ClimaTech,C9,Disponible
INV000167,Buenos Aires,P0177,Super Panel Calefactor Plus,Climatización,AirFlow,40,8,60,2773.04,2025-11-15,AirFlow,A20,Disponible
INV000168,Buenos Aires,P0035,Profesional Abridor de Latas,Cocina,KitchenPro,32,6,48,841.41,2025-11-11,KitchenPro,C3,Disponible
INV000169,Buenos Aires,P0259,Secarropa,Lavado,FreshWash,21,5,31,182.55,2025-10-22,FreshWash,C14,Disponible
INV000170,Buenos Aires,P0293,Centro de Planchado,Lavado,LaundryTech,20,5,30,2307.24,2025-11-14,LaundryTech,D2,Disponible
INV000171,Buenos Aires,P0075,Parrilla Eléctrica,Cocina,CookElite,23,5,34,1257.06,2025-11-06,CookElite,B13,Disponible
INV000172,Buenos Aires,P0067,Waflera,Cocina,ChefMaster,34,6,51,2877.98,2025-10-31,ChefMaster,C13,Disponible
INV000173,Buenos Aires,P0011,Profesional Procesadora 2024,Cocina,HomeChef,36,7,54,350.97,2025-10-29,HomeChef,B6,Disponible
INV000174,Buenos Aires,P0235,Lavarropas Semiautomático 3000,Lavado,SparkleHome,5,5,7,2119.79,2025-11-04,SparkleHome,C3,Disponible
INV000175,Buenos Aires,P0181,Radiador de Aceite II,Climatización,EcoClima,2,5,3,1161.37,2025-11-17,EcoClima,C1,Disponible
INV000176,Buenos Aires,P0268,Deluxe Centrifuga,Lavado,CleanMaster,33,6,49,1949.81,2025-10-26,CleanMaster,C3,Disponible
INV000177,Buenos Aires,P0236,Lavarropas Semiautomático X,Lavado,CleanMaster,23,5,34,41.79,2025-11-12,CleanMaster,C10,Disponible
INV000178,Buenos Aires,P0241,Lavarropa Carga Superior,Lavado,FreshWash,32,6,48,2623.62,2025-11-10,FreshWash,D16,Disponible
INV000179,Buenos Aires,P0185,Ventilador de Pie,Climatización,PureAir,17,5,25,2425.09,2025-11-01,PureAir,B19,Disponible
INV000180,Buenos Aires,P0031,Abridor de Latas 2024,Cocina,CookElite,12,5,18,160.13,2025-11-03,CookElite,B3,Disponible
INV000181,Buenos Aires,P0098,Turbo Freezer,Cocina,TechHome,15,5,22,286.57,2025-11-07,TechHome,A12,Disponible
INV000182,Buenos Aires,P0299,Smart TV 2024,Audio y Video,VisionPro,29,5,43,1422.83,2025-11-09,VisionPro,B5,Disponible
INV000183,Buenos Aires,P0105,Max Conservadora,Cocina,CookElite,5,5,7,2508.45,2025-11-15,CookElite,D17,Disponible
INV000184,Buenos Aires,P0244,Plus Lavarropa Carga Frontal II,Lavado,FreshWash,18,5,27,1372.45,2025-10-31,FreshWash,B3,Disponible
INV000185,Buenos Aires,P0103,Freezer,Cocina,CookElite,6,5,9,2533.51,2025-10-27,CookElite,A19,Disponible
INV000186,Buenos Aires,P0115,Vinoteca Pro,Cocina,CookElite,37,7,55,2844.99,2025-11-11,CookElite,D14,Disponible
INV000187,Buenos Aires,P0239,Plus Lavarropa Carga Superior X,Lavado,CleanMaster,7,5,10,438.57,2025-11-12,CleanMaster,C17,Disponible
INV000188,Buenos Aires,P0183,Radiador de Aceite,Climatización,PureAir,29,5,43,1644.59,2025-11-15,PureAir,D8,Disponible
INV000189,Buenos Aires,P0080,Pro Olla Arrocera,Cocina,TechHome,3,5,4,135.26,2025-11-12,TechHome,C3,Disponible
INV000190,Buenos Aires,P0187,Smart Ventilador de Pie,Climatización,EcoClima,57,11,85,1647.71,2025-11-10,EcoClima,D18,Disponible
INV000191,Buenos Aires,P0076,Deluxe Parrilla Eléctrica,Cocina,KitchenPro,33,6,49,2163.89,2025-10-29,KitchenPro,A16,Disponible
INV000192,Buenos Aires,P0213,Humidificador,Climatización,PureAir,41,8,61,2971.86,2025-11-16,PureAir,A2,Disponible
INV000193,Buenos Aires,P0167,Premium Estufa Eléctrica,Climatización,PureAir,4,5,6,2506.8,2025-11-06,PureAir,C14,Disponible
INV000194,Buenos Aires,P0221,Pro Deshumidificador Pro,Climatización,EcoClima,0,5,0,2288.43,2025-11-08,EcoClima,A14,Agotado
INV000195,Buenos Aires,P0022,Advanced Batidora de Pie,Cocina,KitchenPro,55,11,82,2875.35,2025-10-29,KitchenPro,B14,Disponible
INV000196,Buenos Aires,P0057,Elite Tostadora,Cocina,TechHome,61,12,91,2042.29,2025-10-28,TechHome,A12,Disponible
